BV号,标题,UP主,分区,播放量,弹幕数,收藏,硬币,分享,点赞,发布时间,简介,AV号
BV1uf6tYBEWN,《崩坏：星穹铁道》太古颂歌PV：「论泰坦与地上万邦」,崩坏星穹铁道,手机游戏 (172),4936479,44443,61080,117277,49428,330420,2024-12-30 18:00:00,"「永恒圣城」奥赫玛、「千门之城」雅努萨波利斯、「贤者之乡」神悟树庭、「蛮都」悬锋城、「海畔明珠」斯缇科西亚、「雪城」哀地里亚......
在古老的黄金年代，翁法罗斯大地上曾有万邦毗邻，如今绝大多数都已被黑潮吞没......
 
于危难中，天父刻法勒负日擎天，庇护圣城一方光明。但要重塑破碎的世界，英雄们必须搜集古老泰坦的火种——即便这意味着，狩猎诸神。

中文CV：
讲述者 —— 刘若班
 
日文CV：
讲述者 —— 喜山 茂雄
 
英文CV：
讲述者 —— Circus-Szalewski
 
韩文CV：
讲述者 —— 윤세하",113734223660460
BV1e4ceejEsr,崩坏：星穹铁道剧情合集三期4K（更新到3.2主线剧情走过安眠地的花丛）,泛音1572,手机游戏 (172),4585639,49227,30492,21930,3377,36588,2025-01-15 12:38:53,会加快更新的,113830407439719
BV1yX66YcEPk,《崩坏：星穹铁道》翁法罗斯主题曲MV——「何者」,崩坏星穹铁道,原创音乐 (28),3836902,17683,96943,127112,17757,247579,2025-01-03 12:00:00,"《崩坏：星穹铁道》 3.0版本「再创世的凯歌」将于2025年1月15日上线。
 
翁法罗斯主题曲「何者」
人声 Vocal Artist：谭晶
作词 Lyricist：往人不识/李崎
作曲 Composer：王可鑫 Eli.W (HOYO-MiX)
编曲 Arranger：崔瀚普TSAR (HOYO-MiX)
制作人 Producer：崔瀚普TSAR (HOYO-MiX)
伴唱 Choir： 崔瀚普TSAR (HOYO-MiX)/王可鑫 Eli.W (HOYO-MiX)/奏SOU
录音棚 Recording Studio：STUDIO21A/2496 Top Music
录音师 Recording Engineer：杨惠琳@STUDIO21A/王昆
混音师 Mixing Engineer： 崔瀚普TSAR (HOYO-MiX)
母带制作 Mastering Engineer：崔瀚普TSAR (HOYO-MiX)
出品 Produced by：HOYO-MiX
 
轮回
希望绝望更迭吟唱
兴亡
记忆徒留末日回响
遗忘
未来过去成灰
都为新生陪葬
命运将我流放
那又 怎样？
无愧 无悔
为何不配？为何要跪？
是非 真伪
选择无关错对
谁给我种下因果
结局却不说破
诞生已铐上枷锁
无法挣脱
一场 惨败
英雄
身后不过碑文几行
传说
起承转合虚构太多
你想
囚徒笑问傀儡
谁比谁更荒唐
我虽一身泥浆 那又怎样？
无罪 无畏
为何不配？为何要跪？
是非 真伪 由谁来定错对？
咬断了命运枷锁
不疯狂不成活
埋葬于无人角落
自有评说
故事 之外
有谁 还在？",113758701684558
BV1q99TYtEge,【星穹铁道】嗷呜嗷呜事务所 活动攻略/简单好抄 摆完挂机/奇美拉/打工人模拟器/星穹铁道3.1,你的影月月,手机游戏 (172),3431724,4562,12218,16540,2282,43762,2025-02-28 12:20:27,"视频里都带着激活了隐藏关卡，没触发隐藏关卡的话可能要多打一周！
浴宫里的小奇美拉是3.0宝箱视频里带着从【奥赫玛的红色木马商人】那买的
有帮助的话还请三连支持一下！",114079565877142
BV1oXf4YtEbL,【星穹铁道】地宫迷踪 活动攻略/预言算碑/黄金替罪羊/扎格列斯之手/欧洛尼斯奇迹/星穹铁道3.0,你的影月月,手机游戏 (172),3130513,8129,11760,43723,2161,68565,2025-01-22 12:18:29,"黄金替罪羊省流：
房间1：右7,左
房间2：右3,左2,右6
房间3：左4,右,上,右5
房间4：左2,右4,左2,右,左3
房间5：右2,左2,右4,左2,右2,左5
房间6：右2,下,左4,右,下上(反复横跳3次),右
有帮助的话还请三连支持一下！",113870052000464
BV1vsdAYUEQv,【星穹铁道3.2新增宝箱全收集】黎明云崖/斯缇科西亚/创生若虫/成就/贼灵/战利品/黄金替罪羊/启目集/仙馔秘酿/全网最贴心的星穹铁道宝箱攻略,你的影月月,手机游戏 (172),2614157,7084,16725,20100,1698,29882,2025-04-09 16:24:47,"空间站黑塔-任务：BV1oa4y1V7Az
空间站黑塔-宝箱：BV1YM4y1a7wf
空间站黑塔-黑塔币：BV1pz4y1Y79r
雅利洛-Ⅵ-任务：BV1fL411Y71D
雅利洛-Ⅵ-宝箱：BV1mm4y1y77J
雅利洛-Ⅵ-冬城盾：BV19M4y187vT
仙舟罗浮-任务：BV11T41187jy
仙舟罗浮-宝箱：BV1sz4y1Y7mP
仙舟罗浮-巡镝：BV17s4y1R7SA
匹诺康尼-任务：BV1fB421B7j3
匹诺康尼-宝箱：BV1aZ421U7iu
匹诺康尼-贴纸：BV1TC41167zr
翁法罗斯-任务：BV1x1ceePE3A
翁法罗斯-宝箱：BV16Wc6ekEoP
有帮助的话还请三连支持一下！",114307014592941
BV1NQrxYbEvL,开拓必看！打卡开拓星神都没去过的翁法罗斯！,崩坏星穹铁道,手机游戏 (172),2536934,45517,49417,118539,26797,258008,2025-01-05 12:00:00,"永恒之地，翁法罗斯，三重命途交织缠绕的未知领域。
它难以从外部被观测到，只有通过忆庭之镜，才能窥见其中的奥秘。
今天我们走近《崩坏：星穹铁道》项目组，深入采访他们的创作经历。
一起探寻，阿基维利也未曾到过的神秘之境——",113770898655052
BV1yqBMYPENa,《崩坏：星穹铁道》TGA参展视频：「你所不曾抵达的世界」,崩坏星穹铁道,手机游戏 (172),2340035,9078,37253,58246,14876,200446,2024-12-14 12:00:00,"你的足迹是我们的道标，而我们的足迹将留在你所不曾抵达的世界。
 
中文CV：
帕姆——蒋丽
开拓者——秦且歌
三月七——诺亚
姬子——林簌
 
日文CV：
帕姆——长泽美树
开拓者——榎木淳弥
三月七——小仓唯
姬子——田中理惠
 
英文CV：
帕姆——Christine Sposato
开拓者——Caleb Yen
三月七——Skyler Davenport
姬子——Cia Court
 
韩文CV：
帕姆——윤아영
开拓者——김명준
三月七——정혜원
姬子——김보나",113644834654134
BV1GacoeGESU,星穹铁道你错过一个梗会怎样,神奇猫猫头,手机游戏 (172),2243413,877,22678,1147,5468,152682,2025-01-17 21:09:42,-,113843829277556
BV11CQhYvE8i,酱紫耍帅？,潮汐的原神小日常,手机游戏 (172),2102000,310,36373,5317,3332,216543,2025-03-16 22:54:17,-,114172662646478
